Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
atl_ind_Table 3: Construction Secondary Energy Use and GHG Emissions,4.768,3.857,3.771,3.178,3.253,3.221,2.975,3.07,3.068,3.297,3.429507,3.686829,3.762471,3.862989,4.457551,4.120262,4.163593,4.533893,4.044024,3.743989,6.185017,6.032023,5.110708,4.324649,5.430119,6.834186,8.544876,7.53167,-,-
atl_ind_Table 4: Pulp and Paper Secondary Energy Use and GHG Emissions,89.288458,62.472948,57.509738,57.63565,62.966102,98.760533,91.169541,94.036661,89.088006,97.014054,96.847863,91.054808,98.421672,97.691951,104.669481,89.42848,84.052139,93.876146,81.576814,73.161999,60.446777,53.979531,47.384156,53.024765,46.732744,52.160228,58.066367,61.134522,-,-
atl_ind_Table 5: Smelting and Refining Secondary Energy Use and GHG Emissions,1.197,1.111,1.892,2.168,2.248,1.549,1.387,1.394,1.599,1.817,1.645,1.504,1.385,1.019,0.871,1.18,1.745,2.519945,1.748152,1.803765,1.736666,1.681533,1.639797,1.623412,1.463829,1.525843,1.227578,2.284637,-,-
atl_ind_Table 6: Petroleum Refining Secondary Energy Use and GHG Emissions,42.365,45.792,43.5,49.309,38.395,49.598,57.724,61.65,55.049,55.933,63.244,77.035,75.711,72.882,72.515,72.987,74.515,74.585,73.935,75.539,79.744,73.757,76.002,71.088,58.943,57.318,62.557,62.512,-,-
atl_ind_Table 7: Cement Secondary Energy Use and GHG Emissions,1.774,1.382,1.071,1.281,1.182,0.915,1.011,0.867,1.025,0.638,1.667,1.045,1.221,1.753,1.498,1.643,1.421,1.125,1.541308,1.156136,1.217234,1.176148,1.434017,1.134021,1.182026,1.218006,1.214007,1.372007,-,-
atl_ind_Table 8: Chemicals Secondary Energy Use and GHG Emissions,0.908,0.762,0.906,0.888,0.983,1.283,1.145,1.163,1.187,1.31,1.426,1.531,1.347,1.379,1.603,1.266,1.426,1.368824,0.517003,0.480739,0.313337,0.32015,0.388417,0.43727,0.256328,0.365378,0.428451,0.369376,-,-
atl_ind_Table 9: Iron and Steel Secondary Energy Use and GHG Emissions,1.728,1.334,1.632,1.711,1.886,1.047,0.799,0.712,0.95,0.957,0.438,0.03,0.039,0.04,0.045,0.049,0.006,0.015035,0.003039,0.109898,0.048932,0.061742,0.016039,0.009016,0.004,0.004,0.004,0.004,-,-
atl_ind_Table 10: Other Manufacturing Secondary Energy Use and GHG Emissions,17.563542,37.092052,36.146262,35.57485,46.002398,25.609917,25.020509,27.072789,27.192094,25.043546,27.284762,25.738595,27.376449,27.153281,30.166373,31.972717,34.737941,35.770544,32.89932,32.021052,31.162867,24.85926,27.406062,28.676347,21.494187,20.6171,20.597612,23.296176,-,-
atl_ind_Table 11: Forestry Secondary Energy Use and GHG Emissions,0.338,0.295,0.37,0.573,0.314,0.307,0.614,0.887,0.641,0.776,0.913548,0.738461,0.771607,0.975063,1.04495,1.150014,3.9587,4.133177,4.096813,2.49825,4.287449,4.499044,4.304295,4.051254,4.084328,4.792454,4.478242,5.598201,-,-
"atl_ind_Table 12: Mining, Quarrying, and Oil and Gas Extraction Secondary Energy Use and GHG Emissions",30.392,24.848,24.206,22.796,27.441,27.786,28.195,29.151,26.642,23.558,29.944203,25.03364,24.935658,28.95997,28.50718,33.105889,28.119592,27.242237,27.492897,25.039262,27.10941,27.882342,25.355107,22.771783,22.731137,20.906856,17.28199,16.74556,-,-
bc_com_Table 1: Secondary Energy Use and GHG Emissions by Energy Source,100.54892,108.08108,111.78412,121.80616,117.19988,120.564,119.977,118.955,108.756,110.374,120.753,122.681,132.7939999999,118.3679999997,113.52812,112.2260000002,111.996000000099,123.0729999996,125.5590000003,119.0045635194,115.9346433479,117.464999999999,120.3939109178,117.8199331717,116.747464285279,111.33520751888,110.577301531199,116.3114710114,117.1406358862,120.223641221299
bc_res_Table 1: Secondary Energy Use and GHG Emissions by Energy Source,139.302,138.203,138.775,150.098,149.524,149.971,162.122,154.27,151.984,160.162,157.401077,154.249677,154.16757,147.814532,148.046527,156.65023,158.310535,158.258291,161.620923,160.787443,142.852376,161.417523,155.095478,154.9933,152.307877,144.264956,146.008691,161.510762,155.474042,158.611965
bc_tra_Table 1: Secondary Energy Use by Energy Source,268.161,271.33,283.863,283.213,299.987,318.561,326.727,337.539,340.868,344.484,344.689,334.446,342.288,354.06,370.183,359.024,354.146,366.3,369.92,352.38,368.946,346.376,348.146,356.175,350.325,345.615,360.825,364.731,-,-
bc_ind_Table 1: Secondary Energy Use and GHG Emissions by Energy Source ,408.84,403.42,390.63,398.86,414.8,445.9,451.76,421.7,417.52,454.56,481.18,455.92,431.54,432.89,480.19,470.34,443.57,428.45,369.65,347.79,345.4,344.38,364.75,362.65,383.87,410.82,412.01,413.73,-,-
bc_ind_Table 3: Construction Secondary Energy Use and GHG Emissions,10.289,9.311,9.649,10.334,10.095,8.186,8.063,6.51,5.898,5.627,5.977,5.652,6.527,7.593,8.159,8.641,8.155,9.298,9.364,6.167313,6.849069,9.096,9.288026,8.287182,7.484046,9.288021,12.70316,11.363557,-,-
